model,classifier,clip_accuracy,clip_balanced_accuracy,clip_macro_f1,clip_top_3_accuracy,track_accuracy,track_balanced_accuracy,track_macro_f1,track_top_3_accuracy,track_num_tracks,display_layer,silhouette,davies_bouldin
mert_95m,linear,0.22,0.22000000000000003,0.22215538847117794,0.77,0.24,0.24,0.2577777777777778,0.72,25,4,0.020369701087474823,4.2236366832282926
mert_95m,external_head,0.19,0.19,0.15029573221825732,0.68,0.16,0.16,0.12307692307692308,0.68,25,4,0.020369701087474823,4.2236366832282926
culturemert_95m,linear,0.24,0.24,0.22956072351421186,0.65,0.2,0.2,0.18181818181818182,0.64,25,12,0.016698122024536133,4.239523491439111
culturemert_95m,external_head,0.19,0.19,0.17502451781627984,0.7,0.24,0.24000000000000005,0.23797979797979796,0.72,25,12,0.016698122024536133,4.239523491439111
