fold,layer,C,val_accuracy,val_macro_f1
3,7,10.0,0.0,0.0
3,8,0.01,0.0,0.0
3,8,0.1,0.05,0.06666666666666667
3,8,1.0,0.05,0.05714285714285714
3,8,10.0,0.15,0.15
3,9,0.01,0.05,0.05
3,9,0.1,0.0,0.0
3,9,1.0,0.0,0.0
3,9,10.0,0.05,0.05714285714285714
3,10,0.01,0.0,0.0
3,10,0.1,0.0,0.0
3,10,1.0,0.0,0.0
3,10,10.0,0.0,0.0
3,11,0.01,0.0,0.0
3,11,0.1,0.0,0.0
3,11,1.0,0.0,0.0
3,11,10.0,0.0,0.0
3,12,0.01,0.0,0.0
3,12,0.1,0.0,0.0
3,12,1.0,0.0,0.0
3,12,10.0,0.0,0.0
4,0,0.01,0.5,0.4121212121212121
4,0,0.1,0.5,0.4121212121212121
4,0,1.0,0.5,0.4121212121212121
4,0,10.0,0.5,0.4121212121212121
4,1,0.01,0.5,0.4121212121212121
4,1,0.1,0.5,0.42666666666666664
4,1,1.0,0.5,0.42666666666666664
4,1,10.0,0.5,0.42666666666666664
4,2,0.01,0.5,0.44444444444444436
4,2,0.1,0.5,0.4666666666666666
4,2,1.0,0.5,0.4666666666666666
4,2,10.0,0.5,0.4564102564102564
4,3,0.01,0.45,0.4133333333333333
4,3,0.1,0.45,0.4133333333333333
4,3,1.0,0.45,0.4133333333333333
4,3,10.0,0.45,0.4133333333333333
4,4,0.01,0.45,0.37333333333333335
4,4,0.1,0.45,0.37333333333333335
4,4,1.0,0.45,0.37333333333333335
4,4,10.0,0.45,0.37333333333333335
4,5,0.01,0.5,0.42666666666666664
4,5,0.1,0.5,0.42666666666666664
4,5,1.0,0.5,0.42666666666666664
4,5,10.0,0.5,0.42666666666666664
4,6,0.01,0.5,0.4405194805194805
4,6,0.1,0.5,0.4405194805194805
4,6,1.0,0.5,0.4405194805194805
4,6,10.0,0.5,0.4405194805194805
4,7,0.01,0.55,0.4825396825396825
4,7,0.1,0.55,0.5047619047619047
4,7,1.0,0.55,0.4825396825396825
4,7,10.0,0.55,0.5047619047619047
4,8,0.01,0.45,0.4133333333333333
4,8,0.1,0.45,0.4133333333333333
4,8,1.0,0.45,0.4133333333333333
4,8,10.0,0.45,0.4121212121212121
4,9,0.01,0.45,0.3911111111111111
4,9,0.1,0.45,0.4133333333333333
4,9,1.0,0.45,0.4133333333333333
4,9,10.0,0.4,0.36
4,10,0.01,0.55,0.4647619047619048
4,10,0.1,0.45,0.4314285714285714
4,10,1.0,0.4,0.39333333333333337
4,10,10.0,0.55,0.49466089466089463
4,11,0.01,0.55,0.45021645021645024
4,11,0.1,0.55,0.45021645021645024
4,11,1.0,0.55,0.45021645021645024
4,11,10.0,0.55,0.45021645021645024
4,12,0.01,0.5,0.43809523809523804
4,12,0.1,0.4,0.38095238095238093
4,12,1.0,0.4,0.4076190476190476
4,12,10.0,0.5,0.5047619047619047
